141.709, 129.508, 5.394, 110.200 False
141.182, 129.506, 5.198, 110.600 False
140.670, 129.504, 5.073, 111.000 False
140.164, 129.502, 5.053, 111.400 False
139.650, 129.500, 5.187, 111.800 False
139.112, 129.498, 5.496, 112.200 False
138.532, 129.496, 5.966, 112.600 False
137.907, 129.494, 6.395, 113.000 False
137.247, 129.492, 6.705, 113.400 False
136.569, 129.490, 6.809, 113.800 False
135.898, 129.488, 6.660, 114.200 False
135.253, 129.486, 6.339, 114.600 False
134.647, 129.484, 5.934, 115.000 False
134.079, 129.483, 5.542, 115.400 False
133.546, 129.481, 5.220, 115.800 False
133.035, 129.480, 5.050, 116.200 False
132.533, 129.479, 4.992, 116.600 False
132.035, 129.478, 4.915, 117.000 False
131.559, 129.477, 4.636, 117.400 False
131.119, 129.476, 4.261, 117.800 False
130.718, 129.476, 3.854, 118.200 False
130.357, 129.476, 3.464, 118.600 False
130.032, 129.475, 3.105, 119.000 False
129.741, 129.475, 2.779, 119.400 False
129.480, 129.475, 2.485, 119.800 False
129.247, 129.475, 2.221, 120.200 False
129.038, 129.475, 1.986, 120.600 False
128.851, 129.475, 1.775, 121.000 False
128.684, 129.475, 1.587, 121.400 False
128.535, 129.476, 1.419, 121.800 False
128.401, 129.476, 1.268, 122.200 False
128.282, 129.476, 1.134, 122.600 False
128.175, 129.476, 1.014, 123.000 False
128.079, 129.476, 0.907, 123.400 False
127.994, 129.476, 0.811, 123.800 False
127.918, 129.476, 0.725, 124.200 False
127.849, 129.476, 0.648, 124.600 False
127.794, 129.476, 0.514, 125.000 False
127.746, 129.476, 0.563, 125.400 False
127.675, 129.476, 0.823, 125.800 False
127.553, 129.476, 1.429, 126.200 False
127.371, 129.476, 2.008, 126.600 False
127.137, 129.476, 2.532, 127.000 False
126.853, 129.477, 3.039, 127.400 False
126.519, 129.477, 3.537, 127.800 False
126.136, 129.477, 4.026, 128.200 False
125.706, 129.477, 4.505, 128.600 False
125.228, 129.478, 4.974, 129.000 False
124.703, 129.478, 5.435, 129.400 False
124.133, 129.479, 5.886, 129.800 False
123.519, 129.479, 6.329, 130.200 False
122.861, 129.480, 6.762, 130.600 False
122.160, 129.480, 7.186, 131.000 False
121.417, 129.481, 7.602, 131.400 False
120.633, 129.482, 8.009, 131.800 False
119.811, 129.483, 8.352, 132.200 False
118.969, 129.484, 8.449, 132.600 False
118.141, 129.485, 8.205, 133.000 False
117.350, 129.485, 7.767, 133.400 False
116.609, 129.486, 7.223, 133.800 False
115.925, 129.487, 6.626, 134.200 False
115.301, 129.487, 6.009, 134.600 False
114.738, 129.487, 5.398, 135.000 False
114.234, 129.488, 4.811, 135.400 False
113.786, 129.488, 4.262, 135.800 False
113.389, 129.488, 3.764, 136.200 False
113.037, 129.488, 3.337, 136.600 False
112.724, 129.488, 2.968, 137.000 False
112.446, 129.488, 2.646, 137.400 False
112.197, 129.489, 2.361, 137.800 False
111.974, 129.489, 2.109, 138.200 False
111.781, 129.489, 1.819, 138.600 False
111.609, 129.489, 1.642, 139.000 False
111.449, 129.489, 1.547, 139.400 False
111.295, 129.489, 1.520, 139.800 False
111.140, 129.489, 1.552, 140.200 False
110.979, 129.489, 1.631, 140.600 False
110.809, 129.489, 1.732, 141.000 False
110.628, 129.489, 1.832, 141.400 False
110.440, 129.489, 1.915, 141.800 False
110.244, 129.489, 1.973, 142.200 False
110.045, 129.489, 2.008, 142.600 False
109.843, 129.489, 2.026, 143.000 False
109.640, 129.489, 2.031, 143.400 False
109.438, 129.489, 2.029, 143.800 False
109.235, 129.489, 2.024, 144.200 False
109.033, 129.490, 2.017, 144.600 False
108.832, 129.490, 2.011, 145.000 False
108.631, 129.490, 2.006, 145.400 False
108.431, 129.490, 2.002, 145.800 False
108.231, 129.490, 2.000, 146.200 False
