-181.810, 6.585, 8.728, 82.600
-181.805, 5.708, 8.815, 83.000
-181.799, 4.821, 8.902, 83.400
-181.794, 3.926, 8.990, 83.800
-181.789, 3.021, 9.078, 84.200
-181.783, 2.108, 9.168, 84.600
-181.778, 1.186, 9.258, 85.000
-181.772, 0.255, 9.350, 85.400
-181.767, -0.685, 9.442, 85.800
-181.761, -1.635, 9.535, 86.200
-181.755, -2.594, 9.629, 86.600
-181.750, -3.562, 9.725, 87.000
-181.744, -4.541, 9.821, 87.400
-181.738, -5.528, 9.918, 87.800
-181.732, -6.526, 10.016, 88.200
-181.726, -7.533, 10.114, 88.600
-181.720, -8.551, 10.214, 89.000
-181.714, -9.578, 10.315, 89.400
-181.708, -10.615, 10.417, 89.800
-181.702, -11.663, 10.519, 90.200
-181.695, -12.721, 10.623, 90.600
-181.689, -13.789, 10.727, 91.000
-181.683, -14.868, 10.833, 91.400
-181.676, -15.958, 10.939, 91.800
-181.670, -17.058, 11.047, 92.200
-181.663, -18.169, 11.155, 92.600
-181.656, -19.291, 11.265, 93.000
-181.649, -20.424, 11.375, 93.400
-181.643, -21.568, 11.487, 93.800
-181.636, -22.724, 11.601, 94.200
-181.628, -23.890, 11.716, 94.600
-181.621, -25.069, 11.833, 95.000
-181.614, -26.259, 11.952, 95.400
-181.607, -27.461, 12.072, 95.800
-181.599, -28.676, 12.194, 96.200
-181.592, -29.902, 12.317, 96.600
-181.584, -31.142, 12.442, 97.000
-181.576, -32.393, 12.568, 97.400
-181.568, -33.657, 12.695, 97.800
-181.560, -34.934, 12.823, 98.200
-181.552, -36.224, 12.952, 98.600
-181.544, -37.527, 13.082, 99.000
-181.536, -38.843, 13.213, 99.400
-181.527, -40.172, 13.345, 99.800
-181.519, -41.515, 13.478, 100.200
-181.510, -42.870, 13.613, 100.600
-181.501, -44.239, 13.748, 101.000
-181.492, -45.622, 13.884, 101.400
-181.483, -47.019, 14.022, 101.800
-181.474, -48.429, 14.161, 102.200
-181.464, -49.854, 14.301, 102.600
-181.455, -51.292, 14.443, 103.000
